Filename,a-pinene,linalool,methyl 2-hydroxybenzoate,b-caryophyllene,a-farnesene,benzaldehyde,indole,a-farnesol,(E)-hex-3-en-1-ol
STD3uL0.01rep2_7232021_08.qgd,2691293,6545145,5809547,6023914,3037400,614949,9839525,0,4367838
STD3uL0.01rep3_7232021_09.qgd,22497016,86866978,73301010,80994273,30660069,592560,87854691,0,62117786
STD3uL0.1rep1_7232021_10.qgd,22136462,85604601,72880718,91906477,37630472,771237,94192247,0,64424048
STD3uL0.1rep2_7232021_11.qgd,19501030,68819985,58448706,71988430,37591079,622344,92872033,0,49663569
Alkanes_8262021_13.qgd,16699338,112150579,59807292,127860969,43624427,478316,27520162,2051880,49976735
STD3uL0.0001rep1_8262021_01.qgd,0,0,0,0,0,109600,0,0,0
STD3uL0.0001rep2_8262021_02.qgd,0,270717,251059,130584,0,817490,314766,551296,0
STD3uL0.0001rep3_8262021_03.qgd,61722,168557,214143,150517,0,458772,240065,144098,181751
STD3uL0.001rep1_8262021_04.qgd,112959,166446,208402,116300,0,516207,0,0,188445
STD3uL0.001rep2_8262021_05.qgd,590737,1516408,915976,1556104,0,558079,1330392,1419399,1023262
STD3uL0.001rep3_8262021_06.qgd,527210,1358547,809637,1670226,0,518375,1389126,2149488,857875
STD3uL0.01rep1_8262021_07.qgd,638468,1802853,1229876,1656040,0,1324972,1179667,1853835,1213045
STD3uL0.01rep2_8262021_08.qgd,5132845,12461227,6521655,13340465,4554424,831304,13904386,24332390,7746176
STD3uL0.01rep3_8262021_09.qgd,6162532,20756641,10445519,21866800,6090905,866001,17003965,29278155,11693701
STD3uL0.1rep1_8262021_10.qgd,5707100,19162404,9247419,19193334,5687351,1006461,15664766,25535713,10182339
STD3uL0.1rep2_8262021_11.qgd,31718787,152899367,75817699,154825336,48700996,1454886,29258544,202349821,92858708
STD3uL0.1rep3_8262021_12.qgd,23906078,116451565,60693227,127276834,44540728,2116081,27793724,1068165,78923597
Blank1_752022_02.qgd,0,0,24563,0,0,54355,0,0,0
STD3uL0.0001D1rep4_762022_03.qgd,32124,0,0,0,0,589109,0,0,108298
STD3uL0.0001D2rep1_712022_02.qgd,0,0,0,0,0,965025,0,0,0
STD3uL0.0001D2rep2_752022_02.qgd,0,0,0,0,0,1097112,0,0,0
STD3uL0.0001D2rep3_752022_02.qgd,47820,69371,65515,44639,0,254027,91891,0,0
STD3uL0.0001D2rep4_762022_02.qgd,68258,93565,0,0,0,364303,111525,0,0
STD3uL0.0001rep1_6282022_02.qgd,0,0,0,0,0,0,0,0,0
STD3uL0.0001rep2_6282022_02.qgd,0,81244,0,28025,0,371849,0,0,0
STD3uL0.0001rep3_6302022_02.qgd,43013,63424,91282,40912,0,172359,137924,0,0
STD3uL0.001D1rep4_762022_05.qgd,9960603,785769,535102,795110,0,313271,793853,0,594667
STD3uL0.001D2rep1_712022_03.qgd,250070,422561,425385,550434,0,170012,678780,0,296496
STD3uL0.001D2rep2_752022_03.qgd,269796,400764,553620,375691,0,398615,779125,0,208856
STD3uL0.001D2rep3_752022_03.qgd,280542,574854,480829,744893,0,412350,818786,0,398325
